match,score,home_xg_raw,away_xg_raw,home_xg_sos,away_xg_sos,totals_pick,totals_pnl,spreads_pick,spreads_pnl
Panama vs Cộng hòa Dominican,4-2,1.18,0.27,0.74,0.41,,0.0,home -1.0 (@2.199),1.1989999999999998
Croatia vs Slovenia,2-1,2.13,1.1,1.25,0.7,Over 2.25 (@2.128),1.1280000000000001,home -1.0 (@2.069),-1.0
Morocco vs Norway,1-1,1.5,2.59,1.71,1.94,Over 3.0 (@1.981),-1.0,away -1.0 (@2.01),1.0099999999999998
Ecuador vs Guatemala,3-0,1.21,0.76,1.23,1.07,,0.0,away 0.5 (@2.049),-1.0
Colombia vs Jordan,2-0,1.58,1.03,1.48,0.69,Over 1.5 (@1.957),0.9570000000000001,home -0.5 (@2.049),1.049
Argentina vs Honduras,2-0,1.77,1.44,1.11,1.44,Over 2.25 (@2.158),-1.0,away 0.5 (@1.935),-1.0
Venezuela vs Turkey,1-2,0.54,1.59,0.79,2.01,,0.0,away -1.0 (@2.049),1.049
Brazil vs Egypt,2-1,2.21,0.94,1.97,1.05,Over 2.25 (@2.25),1.25,home -1.5 (@2.373),-1.0
Qatar vs El Salvador,0-0,0.72,0.65,0.96,0.92,,0.0,home 0.0 (@2.029),-1.0
Cape Verde vs Bermuda,3-0,0.44,0.61,0.58,0.61,,0.0,home 0.0 (@2.295),1.295
Bolivia vs Scotland,0-4,0.4,1.46,0.57,0.88,,0.0,away -1.0 (@2.039),1.0390000000000001
England vs New Zealand,1-0,2.28,0.69,1.8,0.58,Over 2.0 (@2.143),-1.0,away 1.5 (@2.199),1.1989999999999998
Switzerland vs Australia,1-1,1.74,0.77,1.94,0.64,Over 1.5 (@2.086),1.0859999999999999,away 1.0 (@2.069),1.069
Panama vs Bosnia-Herzegovina,1-1,1.18,1.43,0.74,1.98,Over 1.5 (@1.957),0.9570000000000001,home 0.5 (@1.867),0.867
United States vs Germany,1-2,1.48,2.85,1.47,1.56,Over 3.5 (@2.368),-1.0,home 1.5 (@1.972),0.972
Portugal vs Chilê,2-1,2.81,0.59,2.72,0.68,Over 2.5 (@2.25),1.25,home -2.5 (@2.442),-1.0
